Pixels,Date,Threshold,ID,Year,Month,Latitude,Longitude
6732,2019-06-07,0.0,s002,2019,6,68.6321,-131.7552
6732,2019-06-10,0.0,s002,2019,6,68.6321,-131.7552
6732,2019-06-17,0.0,s002,2019,6,68.6321,-131.7552
6732,2019-07-25,0.0,s002,2019,7,68.6321,-131.7552
6732,2019-07-27,0.0,s002,2019,7,68.6321,-131.7552
6732,2019-09-03,0.0,s002,2019,9,68.6321,-131.7552
6732,2019-09-07,0.0,s002,2019,9,68.6321,-131.7552
6732,2019-09-20,0.0,s002,2019,9,68.6321,-131.7552
6732,2019-09-28,0.0,s002,2019,9,68.6321,-131.7552
6732,2020-06-03,0.0,s002,2020,6,68.6321,-131.7552
6732,2020-06-14,0.0,s002,2020,6,68.6321,-131.7552
6732,2020-06-18,0.0,s002,2020,6,68.6321,-131.7552
6732,2020-06-29,0.0,s002,2020,6,68.6321,-131.7552
6732,2020-07-11,0.0,s002,2020,7,68.6321,-131.7552
6732,2020-07-31,0.0,s002,2020,7,68.6321,-131.7552
6732,2020-08-18,0.0,s002,2020,8,68.6321,-131.7552
6732,2020-08-28,0.0,s002,2020,8,68.6321,-131.7552
6732,2020-09-06,0.0,s002,2020,9,68.6321,-131.7552
6732,2020-09-19,0.0,s002,2020,9,68.6321,-131.7552
6732,2021-06-06,0.0,s002,2021,6,68.6321,-131.7552
6732,2021-06-14,0.0,s002,2021,6,68.6321,-131.7552
6732,2021-06-19,0.0,s002,2021,6,68.6321,-131.7552
6732,2021-06-23,0.0,s002,2021,6,68.6321,-131.7552
6732,2021-07-16,0.0,s002,2021,7,68.6321,-131.7552
6732,2021-07-23,0.0,s002,2021,7,68.6321,-131.7552
6732,2021-08-03,0.0,s002,2021,8,68.6321,-131.7552
6732,2021-09-02,0.0,s002,2021,9,68.6321,-131.7552
6732,2021-09-07,0.0,s002,2021,9,68.6321,-131.7552
6732,2022-06-14,0.0,s002,2022,6,68.6321,-131.7552
6732,2022-06-21,0.0,s002,2022,6,68.6321,-131.7552
6732,2022-06-28,0.0,s002,2022,6,68.6321,-131.7552
6732,2022-07-01,0.0,s002,2022,7,68.6321,-131.7552
6732,2022-07-06,0.0,s002,2022,7,68.6321,-131.7552
6732,2022-08-05,0.0,s002,2022,8,68.6321,-131.7552
6732,2022-08-12,0.0,s002,2022,8,68.6321,-131.7552
6732,2022-08-30,0.0,s002,2022,8,68.6321,-131.7552
6732,2022-09-02,0.0,s002,2022,9,68.6321,-131.7552
6732,2023-06-24,0.0,s002,2023,6,68.6321,-131.7552
6732,2023-07-04,0.0,s002,2023,7,68.6321,-131.7552
6732,2023-07-29,0.0,s002,2023,7,68.6321,-131.7552
6732,2023-08-08,0.0,s002,2023,8,68.6321,-131.7552
6732,2023-09-17,0.0,s002,2023,9,68.6321,-131.7552
6732,2024-06-05,0.0,s002,2024,6,68.6321,-131.7552
6732,2024-06-10,0.0,s002,2024,6,68.6321,-131.7552
6732,2024-06-15,0.0,s002,2024,6,68.6321,-131.7552
